# EIS Calibration Lookup Table
# Format: frequency_hz, tia_mode, pga_gain_index, magnitude_ratio, phase_offset_deg
# tia_mode: 0=high TIA gain, 1=low TIA gain
# pga_gain_index: 0-7 (maps to gains: 1, 2, 5, 10, 20, 50, 100, 200)

1,0,0,495.234404,-0.06
1,0,1,988.226571,-0.02
1,0,2,2473.991518,-0.02
1,0,3,4890.871332,-0.03
1,0,4,9871.732848,0.02
1,0,5,24682.916896,-0.04
1,0,6,49364.294170,-0.00
1,0,7,98589.866017,-0.01
1,1,0,2.476324,-0.06
1,1,1,4.947808,-0.02
1,1,2,12.397004,-0.08
1,1,3,24.764079,-0.03
1,1,4,49.597828,-0.07
1,1,5,123.710736,-0.08
1,1,6,247.592397,-0.09
1,1,7,493.710664,-0.07
2,0,0,495.512782,-0.02
2,0,1,989.444423,0.01
2,0,2,2475.023231,-0.06
2,0,3,4890.372790,-0.03
2,0,4,9885.512682,-0.01
2,0,5,24667.648675,0.00
2,0,6,49410.823128,-0.07
2,0,7,98426.036882,-0.03
2,1,0,2.478549,-0.02
2,1,1,4.950636,-0.05
2,1,2,12.397515,-0.06
2,1,3,24.782429,-0.06
2,1,4,49.546751,-0.09
2,1,5,123.689025,-0.03
2,1,6,247.543300,0.03
2,1,7,494.388231,-0.06
4,0,0,496.882814,0.03
4,0,1,992.630447,0.03
4,0,2,2483.273906,-0.01
4,0,3,4907.076579,-0.00
4,0,4,9909.560333,-0.05
4,0,5,24752.531735,-0.05
4,0,6,49568.951078,0.00
4,0,7,98923.440858,-0.00
4,1,0,2.487755,-0.02
4,1,1,4.966868,-0.03
4,1,2,12.444011,-0.05
4,1,3,24.859473,-0.06
4,1,4,49.705684,0.02
4,1,5,124.090546,0.02
4,1,6,248.855030,0.02
4,1,7,495.844280,-0.00
5,0,0,497.108158,0.09
5,0,1,993.037096,0.09
5,0,2,2485.297912,-0.00
5,0,3,4913.243326,0.01
5,0,4,9925.187946,-0.02
5,0,5,24767.568327,0.02
5,0,6,49635.099494,0.04
5,0,7,98916.198198,0.03
5,1,0,2.483007,-0.06
5,1,1,4.964394,-0.01
5,1,2,12.437651,-0.06
5,1,3,24.839277,0.01
5,1,4,49.702519,0.07
5,1,5,124.283327,0.06
5,1,6,248.496603,-0.02
5,1,7,495.902796,0.02
8,0,0,497.161876,0.11
8,0,1,992.757948,0.14
8,0,2,2483.365738,0.03
8,0,3,4913.433542,0.04
8,0,4,9933.765717,0.05
8,0,5,24778.294501,0.08
8,0,6,49636.866419,0.04
8,0,7,98812.293587,0.09
8,1,0,2.485033,-0.01
8,1,1,4.967918,0.02
8,1,2,12.434787,0.01
8,1,3,24.862940,0.00
8,1,4,49.720088,0.10
8,1,5,124.190760,0.09
8,1,6,248.390002,0.06
8,1,7,496.198056,-0.01
10,0,0,496.882772,-0.07
10,0,1,992.823036,-0.03
10,0,2,2483.364304,-0.04
10,0,3,4911.306536,-0.03
10,0,4,9919.755102,-0.04
10,0,5,24755.762354,-0.05
10,0,6,49612.790866,-0.01
10,0,7,98978.951199,0.03
10,1,0,2.486069,-0.04
10,1,1,4.966208,-0.02
10,1,2,12.448820,-0.09
10,1,3,24.861598,-0.06
10,1,4,49.734822,-0.10
10,1,5,124.087750,-0.07
10,1,6,248.735174,-0.06
