frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.08,84.39,0.691,84.29,2,1,1
2,3.08,84.38,0.69,84.31,2,1,1
4,3.08,90.0,0.692,89.97,2,1,1
5,3.079,95.64,0.691,95.52,2,1,1
8,3.08,104.06,0.69,104.0,2,1,1
10,3.079,109.69,0.691,109.62,2,1,1
16,3.078,126.58,0.69,126.5,2,1,1
20,3.081,137.84,0.69,137.78,2,1,1
25,3.078,151.89,0.691,151.8,2,1,1
32,3.079,171.57,0.69,171.43,2,1,1
40,3.079,-165.94,0.691,-165.97,2,1,1
50,3.078,-137.81,0.691,-137.89,2,1,1
80,3.08,-56.25,0.69,-56.32,2,1,1
100,3.078,0.0,0.69,-0.04,2,1,1
125,3.078,70.29,0.69,70.23,2,1,1
160,3.08,168.72,0.689,168.74,2,1,1
200,3.079,-81.53,0.69,-81.57,2,1,1
250,3.078,59.06,0.69,59.04,2,1,1
400,3.079,115.29,0.69,115.26,2,1,1
500,3.08,30.94,0.691,30.91,2,1,1
625,3.08,19.7,0.691,19.62,2,1,1
800,3.08,143.44,0.69,143.42,2,1,1
1000,3.08,-19.65,0.69,-19.78,2,1,1
1250,3.078,-44.97,0.69,-45.0,2,1,1
2000,3.078,-118.12,0.69,-118.14,2,1,1
2500,3.077,-163.06,0.689,-163.14,2,1,1
3125,3.091,135.0,0.692,134.94,2,1,1
4000,3.079,53.44,0.69,53.36,2,1,1
5000,3.08,-22.49,0.69,-22.58,2,1,1
6250,3.078,-140.73,0.689,-140.71,2,1,1
10000,3.077,4.94,0.689,4.91,2,1,1
12500,3.076,-110.86,0.69,-110.99,2,1,1
15625,3.077,166.4,0.689,166.53,2,1,1
25000,3.077,49.06,0.689,49.0,2,1,1
50000,3.07,7.92,0.688,7.96,2,1,1
62500,3.063,34.67,0.686,35.6,2,1,1
80000,3.052,-138.13,0.684,-137.55,2,1,1
100000,3.036,-41.06,0.681,-40.96,2,1,1
