DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,130918.132812,-44.30
1,2,83095.671875,-48.40
1,4,49797.632812,-50.46
1,5,42220.761719,-51.57
1,8,29613.240234,307.19
1,10,24708.033203,-54.13
1,16,16214.166016,-57.43
1,20,12611.842773,-60.22
1,25,9549.303711,-63.33
1,32,6924.828125,-66.69
1,40,5134.284180,-69.21
1,50,3845.776611,288.88
1,80,2173.447266,287.21
1,100,1695.247925,-72.63
1,125,1333.572388,-73.27
1,160,1032.630493,-71.73
1,200,831.111938,-68.15
1,250,670.153870,-65.15
1,400,798.987610,-78.71
1,500,568.486145,281.32
1,625,402.387207,-78.16
1,800,284.336853,-84.05
1,1000,205.641663,270.15
1,1250,154.854065,-91.02
1,2000,101.262932,-95.28
1,2500,84.116508,-98.81
1,3125,69.672379,-103.66
1,4000,56.422722,-106.80
1,5000,46.561798,-110.20
1,6250,38.737152,242.71
1,10000,26.703381,-136.08
1,12500,22.900537,-150.68
1,15625,19.728365,-193.53
1,25000,15.118321,-299.96
1,50000,11.421299,233.69
1,62500,10.927178,253.45
1,80000,9.153771,-304.60
1,100000,0.003923,-20.08
