DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,99385.007812,0.16
1,2,99237.281250,-0.13
1,4,99395.976562,0.15
1,5,99448.734375,0.16
1,8,99316.046875,0.07
1,10,99176.492188,0.16
1,16,99303.617188,-0.03
1,20,99049.242188,0.14
1,25,99107.156250,0.05
1,32,98788.617188,0.30
1,40,99687.789062,0.26
1,50,99909.578125,-0.59
1,80,98938.125000,0.13
1,100,99025.085938,0.27
1,125,99245.039062,-0.10
1,160,97552.023438,0.57
1,200,99434.703125,0.03
1,250,98853.054688,-0.67
1,400,99417.781250,0.21
1,500,99390.953125,0.47
1,625,98537.265625,0.72
1,800,98631.179688,0.72
1,1000,99172.570312,1.29
1,1250,98978.343750,1.93
1,2000,99191.531250,5.00
1,2500,99070.375000,6.96
1,3125,99098.734375,9.37
1,4000,99221.023438,12.59
1,5000,98960.882812,16.14
1,6250,99140.460938,20.82
1,10000,99324.031250,33.68
1,12500,99174.984375,41.95
1,15625,100137.726562,50.26
1,25000,99506.921875,75.78
1,50000,104048.976562,126.45
1,62500,103974.281250,142.57
1,80000,102343.390625,166.63
1,100000,99967.703125,180.09
