DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,2271133.750000,-179.65
1,2,12193125.000000,-174.17
1,4,6880874.500000,153.60
1,5,3559870.500000,-35.16
1,8,3176437.500000,-36.51
1,10,2671116.250000,68.54
1,16,794169.375000,2.65
1,20,6571763.500000,-171.44
1,25,157467.906250,-105.38
1,32,143890.390625,-83.68
1,40,97045.585938,-83.82
1,50,46038.652344,-95.76
1,80,30575.810547,-84.44
1,100,22678.578125,-84.61
1,125,16943.697266,-83.32
1,160,12449.478516,-80.85
1,200,9752.832031,-79.37
1,250,7614.056641,-76.38
1,400,4782.086426,-70.60
1,500,3897.110107,-66.02
1,625,3218.010254,-60.99
1,800,2680.353516,-54.29
1,1000,2376.926514,-47.54
1,1250,2115.024658,-40.15
1,2000,1789.338013,-24.69
1,2500,1696.100708,-17.27
1,3125,1641.548096,-10.28
1,4000,1593.482788,-2.76
1,5000,1563.446289,3.80
1,6250,1546.037720,10.48
1,10000,1535.270752,25.28
1,12500,1542.201782,32.75
1,15625,1541.697266,40.25
1,25000,1555.337891,58.68
1,50000,1640.186035,82.77
1,62500,1492.966797,119.22
1,80000,1499.868042,128.12
1,100000,1492.514404,134.39
