DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,5931406.500000,111.54
1,2,5154168.500000,-62.96
1,4,2001517.375000,-2.96
1,5,8437096.000000,-79.64
1,8,34904204.000000,-127.10
1,10,4051000.750000,-90.37
1,16,825336.187500,41.92
1,20,7031949.000000,-29.79
1,25,157643.156250,-16.33
1,32,219658.953125,-75.23
1,40,148875.531250,-91.22
1,50,173259.203125,-107.71
1,80,37230.199219,-87.63
1,100,26236.775391,-86.25
1,125,18943.056641,-84.99
1,160,13232.377930,-84.61
1,200,10249.600586,-82.88
1,250,7726.497070,-81.51
1,400,4730.276367,-76.53
1,500,3767.006836,-73.41
1,625,3044.701172,-69.48
1,800,2496.076904,-64.29
1,1000,2087.128418,-58.52
1,1250,1785.042603,-51.59
1,2000,1372.729492,-35.80
1,2500,1255.373291,-27.35
1,3125,1175.514038,-19.21
1,4000,1113.693726,-10.25
1,5000,1078.550781,-2.46
1,6250,1054.502197,5.31
1,10000,1032.802124,21.84
1,12500,1035.947876,29.98
1,15625,1031.714844,37.94
1,25000,1037.954712,57.33
1,50000,1102.704224,83.14
1,62500,1137.483765,86.91
1,80000,1206.519287,87.32
1,100000,998.585327,135.06
