DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,2192023.750000,120.20
1,2,2733270.250000,-63.10
1,4,6770157.500000,57.24
1,5,4680976.500000,24.69
1,8,16388820.000000,50.11
1,10,3279989.250000,112.47
1,16,810821.750000,131.33
1,20,27536162.000000,-87.59
1,25,166739.390625,-74.81
1,32,1002381.437500,76.53
1,40,1581885.750000,45.04
1,50,164249.562500,41.37
1,80,4205390.000000,-81.28
1,100,769537.562500,-67.54
1,125,452936.156250,-80.38
1,160,107177.695312,-80.96
1,200,62666.277344,-89.17
1,250,33647.679688,-84.17
1,400,12693.074219,-87.01
1,500,8817.914062,-86.40
1,625,6439.634766,-85.86
1,800,4796.604004,-84.41
1,1000,3710.743408,-83.18
1,1250,2912.645996,-80.76
1,2000,1847.626099,-74.29
1,2500,1483.188354,-69.83
1,3125,1196.600464,-64.37
1,4000,956.088074,-57.08
1,5000,784.268188,-49.87
1,6250,651.313538,-40.89
1,10000,464.448853,-47.02
1,12500,418.710358,-39.19
1,15625,383.059357,-33.30
1,25000,333.289703,-19.38
1,50000,306.551300,0.59
1,62500,305.042938,6.43
1,80000,301.486816,12.41
1,100000,300.915863,21.75
