DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,295.020020,-0.01
1,2,296.056854,-0.20
1,4,292.693787,0.25
1,5,295.563660,-0.20
1,8,295.610474,0.00
1,10,295.431885,-0.12
1,16,294.100189,0.17
1,20,293.890198,-0.28
1,25,297.785004,0.53
1,32,297.340393,0.18
1,40,292.520111,-0.13
1,50,294.608551,0.23
1,80,294.725311,0.22
1,100,295.203430,0.20
1,125,292.887054,0.32
1,160,296.970123,-0.00
1,200,295.181671,0.12
1,250,294.016357,0.13
1,400,295.964172,-0.24
1,500,295.440063,0.23
1,625,296.674103,0.11
1,800,296.510010,-0.12
1,1000,295.523560,0.29
1,1250,295.688049,0.01
1,2000,296.883148,0.19
1,2500,296.346252,-0.24
1,3125,294.612122,-0.02
1,4000,293.008545,-0.07
1,5000,296.834015,0.34
1,6250,294.958649,0.47
1,10000,296.326324,1.43
1,12500,294.411285,4.22
1,15625,293.068817,4.86
1,25000,296.530457,6.93
1,50000,295.732025,5.54
1,62500,295.334808,6.86
1,80000,294.859802,7.56
1,100000,290.945801,11.27
