DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,2050693.500000,19.19
1,2,2459174.500000,56.58
1,4,6197589.500000,-61.54
1,5,2368915.250000,115.70
1,8,3535325.500000,50.33
1,10,852321.937500,1.64
1,16,966540.750000,100.02
1,20,4416673.000000,-14.40
1,25,716300.562500,0.81
1,32,1288282.500000,36.79
1,40,3368021.500000,-5.15
1,50,2690914.250000,-79.32
1,80,1704371.375000,62.36
1,100,3324262.750000,114.13
1,125,1013550.250000,16.27
1,160,2181178.000000,-155.88
1,200,1497867.750000,-86.95
1,250,1511287.500000,-123.32
1,400,161651.562500,-89.26
1,500,66749.500000,-85.36
1,625,30869.900391,-82.64
1,800,17822.011719,-84.56
1,1000,11019.566406,-86.75
1,1250,7263.230469,-86.50
1,2000,3453.837158,-83.41
1,2500,2585.870850,-81.40
1,3125,2006.660156,-76.20
1,4000,1410.347778,-74.82
1,5000,1027.756958,-71.88
1,6250,826.578979,-68.25
1,10000,536.870972,-57.80
1,12500,428.812988,-85.54
1,15625,341.293823,-85.34
1,25000,210.741531,-86.35
1,50000,105.787903,-86.10
1,62500,86.545151,-85.74
1,80000,66.624329,-85.15
1,100000,53.065151,-88.44
