DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,45805.425781,-38.39
1,2,29807.945312,-39.61
1,4,20700.082031,-41.80
1,5,17745.917969,-42.98
1,8,13300.623047,-43.43
1,10,11814.022461,-42.35
1,16,8846.951172,-43.07
1,20,7701.189941,-43.85
1,25,6778.274902,-43.66
1,32,5879.489746,-43.99
1,40,5113.000977,-43.94
1,50,4439.692383,-45.37
1,80,3198.937012,-48.28
1,100,2718.992920,-50.29
1,125,2223.592773,-53.06
1,160,1722.812500,-57.17
1,200,1309.282959,-61.35
1,250,962.977844,-65.61
1,400,632.987915,-66.91
1,500,488.931366,-68.20
1,625,373.808594,-69.20
1,800,283.002777,-70.58
1,1000,222.114929,-70.78
1,1250,173.952393,-71.17
1,2000,107.099998,-69.39
1,2500,86.470207,-68.08
1,3125,69.440758,-65.59
1,4000,56.060364,-64.21
1,5000,46.994617,-61.24
1,6250,39.281067,-58.41
1,10000,29.312389,-50.29
1,12500,25.866959,-47.15
1,15625,22.979544,-43.36
1,25000,18.919296,-34.18
1,50000,15.605078,-23.45
1,62500,15.075614,-21.66
1,80000,14.410304,-18.57
1,100000,14.085014,-15.42
