DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,21426.632812,-50.87
1,2,13559.270508,-45.55
1,4,8796.827148,-42.95
1,5,7930.943848,-40.34
1,8,6182.317871,-38.54
1,10,5703.678711,-37.83
1,16,4538.541992,-37.42
1,20,4126.805664,-37.53
1,25,3632.888184,-38.27
1,32,3204.320312,-39.42
1,40,2840.956299,-40.95
1,50,2447.719238,-43.22
1,80,1852.226196,-47.09
1,100,1574.620483,-49.10
1,125,1324.453735,-51.29
1,160,1073.793701,-53.90
1,200,870.021118,-56.18
1,250,686.767578,-59.02
1,400,478.190277,-58.70
1,500,385.882599,-59.33
1,625,311.052673,-59.98
1,800,248.548584,-60.39
1,1000,201.480789,-61.17
1,1250,164.295914,-61.76
1,2000,108.013466,-61.47
1,2500,88.945351,-61.22
1,3125,72.689598,-59.86
1,4000,59.758034,-59.73
1,5000,50.598793,-57.86
1,6250,42.770027,-56.30
1,10000,32.024750,-50.79
1,12500,28.014269,-47.73
1,15625,25.089823,-45.75
1,25000,19.699823,-38.01
1,50000,15.322762,-27.55
1,62500,14.590806,-25.24
1,80000,13.778998,-21.67
1,100000,13.377554,-18.22
