DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,2023544.750000,-24.36
1,2,2552180.250000,82.35
1,4,4582922.500000,56.51
1,5,1280850.750000,-5.22
1,8,5277259.000000,-0.71
1,10,1833597.000000,-52.03
1,16,465738.531250,-162.41
1,20,251598.531250,23.15
1,25,96449.992188,-7.15
1,32,134637.187500,-86.34
1,40,89133.851562,-87.55
1,50,60397.421875,-125.34
1,80,30910.568359,-85.53
1,100,22511.982422,-86.08
1,125,16790.291016,-86.04
1,160,12900.649414,-83.67
1,200,9365.001953,-83.68
1,250,7446.355957,-81.34
1,400,4460.329102,-77.83
1,500,3588.355713,-75.27
1,625,2925.038330,-72.00
1,800,2374.572510,-67.89
1,1000,2010.676880,-64.10
1,1250,1735.009277,-59.96
1,2000,1351.593262,-52.97
1,2500,1228.248047,-50.71
1,3125,1117.694214,-49.93
1,4000,1005.435669,-49.51
1,5000,903.452515,-50.36
1,6250,798.404724,-51.34
1,10000,585.375061,-52.26
1,12500,497.689209,-51.44
1,15625,424.080811,-50.02
1,25000,313.020966,-42.74
1,50000,229.671494,-27.53
1,62500,218.864716,-22.07
1,80000,209.915115,-18.31
1,100000,205.781982,-14.26
