DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,293.117676,0.05
1,2,293.513763,-0.11
1,4,293.035278,-0.03
1,5,293.625885,0.15
1,8,293.193329,0.01
1,10,293.659729,0.07
1,16,293.864563,-0.08
1,20,293.697174,0.08
1,25,294.018982,0.14
1,32,294.945496,-0.06
1,40,294.137421,-0.29
1,50,296.319214,1.92
1,80,294.055573,0.11
1,100,293.269623,-0.01
1,125,293.391174,0.04
1,160,292.051361,0.18
1,200,293.315399,-0.25
1,250,292.911316,0.28
1,400,293.785278,0.08
1,500,293.815277,0.08
1,625,293.881104,0.04
1,800,293.814911,-0.13
1,1000,294.200989,-0.01
1,1250,293.512024,-0.18
1,2000,293.545654,-0.12
1,2500,292.714172,-0.28
1,3125,292.581329,-0.32
1,4000,293.396942,-0.31
1,5000,293.895508,-0.16
1,6250,293.879211,-0.02
1,10000,293.011902,0.63
1,12500,294.114014,0.54
1,15625,294.500763,0.38
1,25000,292.936188,0.38
1,50000,293.712769,1.35
1,62500,294.023407,1.61
1,80000,295.383698,1.22
1,100000,294.614807,2.89
