DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,1269914.375000,150.24
1,2,444759.937500,21.69
1,4,871060.750000,-127.52
1,5,1215313.875000,40.48
1,8,1541188.250000,60.03
1,10,801675.750000,97.15
1,16,64051.246094,-80.70
1,20,45585.757812,-178.35
1,25,12536.586914,161.49
1,32,223531.656250,77.87
1,40,106461.570312,9.05
1,50,13801.514648,-46.65
1,80,132138.468750,-48.60
1,100,84970.562500,-83.47
1,125,40878.593750,-89.99
1,160,19989.705078,-110.94
1,200,13550.295898,-100.16
1,250,13520.370117,-82.31
1,400,5393.024902,-90.59
1,500,3964.340576,-89.77
1,625,3084.146484,-90.04
1,800,2297.394287,-89.57
1,1000,1831.272827,-88.58
1,1250,1441.699951,-90.40
1,2000,882.116882,-89.07
1,2500,699.166443,-88.37
1,3125,553.660156,-87.92
1,4000,430.690643,-86.22
1,5000,467.165619,-50.07
1,6250,408.113403,-44.13
1,10000,344.183167,-31.25
1,12500,329.053040,-25.53
1,15625,318.565369,-21.42
1,25000,303.036255,-13.92
1,50000,293.518036,-5.96
1,62500,295.993896,-4.60
1,80000,294.266235,-3.76
1,100000,297.932648,-0.42

DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,606921.187500,93.24
1,2,1454844.625000,67.80
1,4,2480535.750000,-84.17
1,5,455973.406250,154.23
1,8,594663.187500,-20.06
1,10,606780.500000,110.53
1,16,66370.867188,-0.79
1,20,2543969.250000,134.15
1,25,12232.349609,-58.82
1,32,190857.093750,-115.98
1,40,95748.210938,-158.36
1,50,12273.181641,164.83
1,80,114420.679688,-99.40
1,100,74179.859375,-102.91
1,125,50314.167969,-80.73
1,160,19348.642578,-77.52
1,200,15431.503906,-84.51
1,250,9663.250000,-85.39
1,400,5316.607422,-90.27
1,500,4002.343750,-89.87
1,625,3078.015137,-89.09
1,800,2349.702881,-89.75
1,1000,1833.765381,-88.63
1,1250,1447.311768,-90.20
1,2000,891.231628,-89.05
1,2500,710.923035,-88.38
1,3125,558.831726,-87.79
1,4000,436.841034,-86.04
1,5000,466.869659,-50.81
1,6250,412.070099,-43.45
1,10000,346.905518,-31.45
1,12500,332.337921,-25.71
1,15625,320.082397,-21.07
1,25000,306.468292,-13.80
1,50000,297.804718,-5.76
1,62500,296.699677,-4.02
1,80000,296.984619,-3.40
1,100000,298.136261,-0.63

1,1,2203637.250000,48.70
1,2,1941730.125000,135.84
1,4,1872936.375000,-1.00
1,5,2453453.250000,170.30
1,8,2409960.500000,50.08
1,10,1892457.250000,-11.16
1,16,455587.375000,-89.94
1,20,711808.937500,29.70
1,25,107344.757812,-106.07
1,32,612465.937500,-61.73
1,40,1385836.375000,-149.58
1,50,117193.343750,86.05
1,80,161802.000000,-92.22
1,100,84989.507812,-88.16
1,125,45161.738281,-87.74
1,160,24179.417969,-85.18
1,200,15773.012695,-89.53
1,250,10538.100586,-88.67
1,400,5309.694336,-89.65
1,500,3975.488281,-89.67
1,625,3051.464844,-89.84
1,800,2303.242676,-89.93
1,1000,1822.148804,-89.86
1,1250,1439.492432,-89.65
1,2000,885.182678,-89.21
1,2500,705.587341,-88.49
1,3125,557.534546,-87.85
1,4000,434.443970,-86.23
1,5000,464.010223,-50.46
1,6250,409.395569,-43.92
1,10000,346.647095,-31.41
1,12500,331.128967,-25.58
1,15625,320.377930,-21.13
1,25000,305.507050,-14.04
1,50000,296.075409,-5.72
1,62500,295.329773,-4.04
1,80000,296.379456,-3.44
1,100000,295.953552,-0.84
