DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,29181.859375,-41.37
1,2,20383.193359,-41.03
1,4,13844.443359,-41.49
1,5,12277.392578,-40.16
1,8,9374.339844,-40.34
1,10,8361.669922,-40.49
1,16,6634.074219,-40.29
1,20,5955.530273,-41.03
1,25,5241.050781,-40.83
1,32,4602.053223,-41.26
1,40,4010.944824,-42.77
1,50,3518.150391,-43.29
1,80,2614.646484,-45.55
1,100,2246.359131,-47.05
1,125,1906.392578,-49.05
1,160,1554.569824,-52.29
1,200,1239.567627,-56.53
1,250,943.263672,-61.59
1,400,510.517059,-71.29
1,500,516.512695,-63.31
1,625,396.436890,-65.59
1,800,301.813263,-67.80
1,1000,237.713043,-68.41
1,1250,187.900833,-69.52
1,2000,114.350746,-69.21
1,2500,91.876839,-68.45
1,3125,73.351746,-66.56
1,4000,58.610817,-65.81
1,5000,48.821404,-63.09
1,6250,40.390953,-60.67
1,10000,29.693949,-53.21
1,12500,25.829386,-49.18
1,15625,23.142462,-45.83
1,25000,18.396843,-36.46
1,50000,14.894807,-25.06
1,62500,14.371091,-22.09
1,80000,13.729918,-18.98
1,100000,13.382264,-16.03
