Measurement:,1.2kOhm + ?C
Notes:,Connec PS Dummy Cell CE, RE and WE to WE_C
Date and time:,2025-10-11 12:35:32
Fixed at 38 freqs [8]
freq / Hz,neg. Phase / °,Idc / uA,Z / Ohm,Z' / Ohm,Z'' / Ohm,Cs / F,
250.000,79.379,-0.001,6.685E+03,1.232E+03,6.571E+03,1.032E+07,
400.000,73.920,-0.002,4.322E+03,1.197E+03,4.153E+03,1.044E+07,
500.000,70.397,-0.001,3.525E+03,1.183E+03,3.321E+03,1.043E+07,
625.000,66.489,0.000,2.903E+03,1.158E+03,2.662E+03,1.045E+07,
800.000,60.011,-0.003,2.412E+03,1.206E+03,2.089E+03,1.050E+07,
1000.00,54.325,-0.001,2.057E+03,1.200E+03,1.671E+03,1.050E+07,
1250.00,48.281,0.000,1.792E+03,1.192E+03,1.337E+03,1.050E+07,
2000.00,35.390,-0.002,1.454E+03,1.186E+03,842.264,1.058E+07,
2500.00,29.838,-0.002,1.364E+03,1.184E+03,678.839,1.066E+07,
3125.00,24.930,0.002,1.304E+03,1.182E+03,549.616,1.079E+07,
4000.00,20.039,0.000,1.261E+03,1.185E+03,432.122,1.086E+07,
5000.00,16.190,-0.005,1.233E+03,1.184E+03,343.810,1.080E+07,
6250.00,12.655,-0.003,1.217E+03,1.188E+03,266.644,1.047E+07,
10000.00,5.689,-0.004,1.200E+03,1.194E+03,118.985,7.476E+06,
