Measurement:,1.2kOhm + ?C
Notes:,Connec PS Dummy Cell CE, RE and WE to WE_C
Date and time:,2025-10-11 12:35:32
Fixed at 38 freqs [8]
freq / Hz,neg. Phase / °,Idc / uA,Z / Ohm,Z' / Ohm,Z'' / Ohm,Cs / F,
1.000,89.614,0.000,1.628E+06,1.097E+04,1.628E+06,1.023E+07,
2.000,89.657,0.000,8.158E+05,4.878E+03,8.158E+05,1.025E+07,
4.000,89.422,0.000,4.086E+05,4.120E+03,4.086E+05,1.027E+07,
5.000,89.210,0.000,3.233E+05,4.458E+03,3.232E+05,1.015E+07,
8.000,88.885,0.000,2.055E+05,3.999E+03,2.055E+05,1.033E+07,
10.000,89.226,0.001,1.623E+05,2.193E+03,1.623E+05,1.020E+07,
16.000,88.942,0.000,1.036E+05,1.913E+03,1.036E+05,1.042E+07,
20.000,88.493,0.000,8.262E+04,2.172E+03,8.260E+04,1.038E+07,
25.000,88.690,0.000,6.636E+04,1.517E+03,6.634E+04,1.042E+07,
32.000,87.737,0.002,5.079E+04,2.005E+03,5.075E+04,1.020E+07,
40.000,87.357,-0.001,4.191E+04,1.933E+03,4.187E+04,1.052E+07,
50.000,95.771,0.001,2.605E+04,-2.620E+03,2.592E+04,8.144E+06,
80.000,86.354,0.000,2.077E+04,1.321E+03,2.073E+04,1.042E+07,
100.000,85.521,-0.001,1.664E+04,1.300E+03,1.659E+04,1.042E+07,
125.000,84.584,0.000,1.337E+04,1.262E+03,1.331E+04,1.045E+07,
160.000,83.139,0.001,1.048E+04,1.252E+03,1.040E+04,1.046E+07,
200.000,81.575,0.000,8.389E+03,1.229E+03,8.299E+03,1.043E+07,
250.000,79.379,-0.001,6.685E+03,1.232E+03,6.571E+03,1.032E+07,
400.000,73.920,-0.002,4.322E+03,1.197E+03,4.153E+03,1.044E+07,
500.000,70.397,-0.001,3.525E+03,1.183E+03,3.321E+03,1.043E+07,
625.000,66.489,0.000,2.903E+03,1.158E+03,2.662E+03,1.045E+07,
800.000,60.011,-0.003,2.412E+03,1.206E+03,2.089E+03,1.050E+07,
1000.00,54.325,-0.001,2.057E+03,1.200E+03,1.671E+03,1.050E+07,
1250.00,48.281,0.000,1.792E+03,1.192E+03,1.337E+03,1.050E+07,
2000.00,35.390,-0.002,1.454E+03,1.186E+03,842.264,1.058E+07,
2500.00,29.838,-0.002,1.364E+03,1.184E+03,678.839,1.066E+07,
3125.00,24.930,0.002,1.304E+03,1.182E+03,549.616,1.079E+07,
4000.00,20.039,0.000,1.261E+03,1.185E+03,432.122,1.086E+07,
5000.00,16.190,-0.005,1.233E+03,1.184E+03,343.810,1.080E+07,
6250.00,12.655,-0.003,1.217E+03,1.188E+03,266.644,1.047E+07,
10000.00,5.689,-0.004,1.200E+03,1.194E+03,118.985,7.476E+06,
12500.00,2.290,0.000,1.198E+03,1.197E+03,47.869,3.760E+06,
15625.00,-1.146,-0.005,1.198E+03,1.198E+03,-23.976,-2.354E+06,
25000.00,-9.062,0.001,1.210E+03,1.195E+03,-190.619,-2.994E+07,
50000.00,-24.389,-0.003,1.280E+03,1.166E+03,-528.595,-1.661E+08,
62500.00,-30.738,0.017,1.332E+03,1.145E+03,-680.782,-2.673E+08,
80000.00,-38.628,0.000,1.420E+03,1.110E+03,-886.708,-4.457E+08,
100000.00,-46.617,0.015,1.542E+03,1.059E+03,-1.120E+03,-7.040E+08,
