Measurement:,R300 + ?C 2
Notes:,Connec PS Dummy Cell CE, RE and WE to WE_C
Date and time:,2025-10-11 11:52:35
Fixed at 38 freqs [5]
freq / Hz,neg. Phase / °,Idc / uA,Z / Ohm,Z' / Ohm,Z'' / Ohm,Cs / F,
1.000,82.859,0.000,1.812E+06,2.253E+05,1.798E+06,1.130E+07,
2.000,86.284,0.000,8.704E+05,5.641E+04,8.686E+05,1.091E+07,
4.000,87.844,0.000,4.421E+05,1.664E+04,4.418E+05,1.110E+07,
5.000,88.226,0.001,3.441E+05,1.065E+04,3.440E+05,1.081E+07,
8.000,87.876,0.000,2.269E+05,8.412E+03,2.268E+05,1.140E+07,
10.000,88.393,0.000,1.785E+05,5.008E+03,1.785E+05,1.121E+07,
16.000,89.377,0.000,1.114E+05,1.212E+03,1.114E+05,1.120E+07,
20.000,88.869,-0.001,9.033E+04,1.784E+03,9.031E+04,1.135E+07,
25.000,89.459,0.000,7.163E+04,675.776,7.163E+04,1.125E+07,
32.000,87.018,0.001,5.532E+04,2.878E+03,5.525E+04,1.111E+07,
40.000,90.036,0.000,4.461E+04,-28.338,4.461E+04,1.121E+07,
50.000,86.859,0.001,1.965E+04,1.076E+03,1.962E+04,6.163E+06,
80.000,88.703,0.000,2.237E+04,506.242,2.236E+04,1.124E+07,
100.000,88.322,-0.003,1.780E+04,521.365,1.779E+04,1.118E+07,
125.000,88.636,-0.001,1.434E+04,341.404,1.433E+04,1.126E+07,
160.000,88.011,-0.001,1.119E+04,388.429,1.119E+04,1.125E+07,
200.000,87.684,-0.001,8.949E+03,361.613,8.942E+03,1.124E+07,
250.000,88.169,0.000,7.222E+03,230.717,7.219E+03,1.134E+07,
400.000,85.963,-0.004,4.493E+03,316.338,4.482E+03,1.126E+07,
500.000,85.253,-0.003,3.590E+03,297.079,3.577E+03,1.124E+07,
625.000,84.514,-0.001,2.876E+03,274.896,2.862E+03,1.124E+07,
800.000,81.786,-0.003,2.275E+03,325.053,2.252E+03,1.132E+07,
1000.00,80.094,0.001,1.823E+03,313.679,1.796E+03,1.129E+07,
1250.00,77.961,-0.001,1.471E+03,306.885,1.439E+03,1.130E+07,
2000.00,71.832,0.004,947.577,295.454,900.339,1.131E+07,
2500.00,67.998,-0.004,776.861,291.046,720.282,1.131E+07,
3125.00,63.531,0.007,643.916,286.999,576.419,1.132E+07,
4000.00,57.671,0.007,531.634,284.309,449.225,1.129E+07,
5000.00,51.394,0.006,457.170,285.257,357.257,1.122E+07,
6250.00,44.228,-0.001,402.535,288.442,280.777,1.103E+07,
10000.00,26.378,-0.005,333.040,298.365,147.967,9.297E+06,
12500.00,16.830,-0.008,316.278,302.732,91.572,7.192E+06,
15625.00,6.940,-0.020,307.224,304.973,37.122,3.644E+06,
25000.00,-14.425,0.001,310.889,301.088,-77.446,-1.217E+07,
50000.00,-44.327,0.004,403.678,288.777,-282.071,-8.862E+07,
62500.00,-52.652,0.057,471.406,285.981,-374.751,-1.472E+08,
80000.00,-60.849,0.016,576.400,280.771,-503.393,-2.530E+08,
100000.00,-67.324,0.056,701.919,270.608,-647.659,-4.069E+08,
