Measurement:,Impedance Spectroscopy [7]
Notes:,PBS 1x PalmSens4 DUT 1
Date and time:,2025-10-09 16:48:27
Fixed at 38 freqs [7]
freq / Hz,neg. Phase / °,Idc / uA,Z / Ohm,Z' / Ohm,Z'' / Ohm,Cs / F,
1.000,-0.015,-0.136,312.931,312.931,-0.080,-5.011E-01,
2.000,0.013,-0.117,313.044,313.044,0.073,9.213E-01,
4.000,-0.077,0.079,314.162,314.161,-0.420,-1.056E+01,
5.000,-0.052,0.088,314.140,314.140,-0.284,-8.922E+00,
8.000,-0.123,0.079,313.966,313.965,-0.673,-3.382E+01,
10.000,0.002,0.079,313.684,313.684,0.0098,6.160E-01,
16.000,0.039,0.079,313.602,313.602,0.215,2.164E+01,
20.000,0.006,0.088,313.507,313.507,0.032,4.000E+00,
25.000,0.010,0.074,313.562,313.562,0.057,8.916E+00,
32.000,0.009,0.093,313.347,313.347,0.049,9.772E+00,
40.000,-0.022,0.088,313.366,313.366,-0.119,-2.999E+01,
50.000,0.168,0.079,315.920,315.919,0.927,2.912E+02,
80.000,-0.060,0.088,313.355,313.355,-0.327,-1.642E+02,
100.000,0.024,0.083,313.257,313.257,0.130,8.190E+01,
125.000,0.027,0.079,313.458,313.458,0.148,1.161E+02,
160.000,0.010,0.098,313.308,313.308,0.053,5.293E+01,
200.000,-0.002,0.074,313.335,313.335,-0.0086,-1.084E+01,
250.000,-0.042,0.079,313.158,313.158,-0.228,-3.581E+02,
400.000,0.018,0.117,313.275,313.275,0.099,2.481E+02,
500.000,0.007,0.131,313.397,313.397,0.040,1.267E+02,
625.000,-0.009,0.103,313.825,313.825,-0.048,-1.881E+02,
800.000,0.099,0.088,313.350,313.349,0.541,2.720E+03,
1000.00,0.055,0.074,313.229,313.229,0.303,1.902E+03,
1250.00,-0.009,0.103,313.051,313.051,-0.051,-3.991E+02,
2000.00,0.075,0.064,313.263,313.263,0.408,5.127E+03,
2500.00,0.052,0.079,312.981,312.980,0.286,4.500E+03,
3125.00,0.189,0.079,312.774,312.772,1.033,2.028E+04,
4000.00,0.120,0.079,312.926,312.925,0.657,1.650E+04,
5000.00,0.141,0.069,313.171,313.170,0.770,2.420E+04,
6250.00,0.148,0.064,312.621,312.620,0.808,3.174E+04,
10000.00,0.029,0.074,312.699,312.699,0.158,9.924E+03,
12500.00,-0.078,0.074,312.593,312.593,-0.423,-3.324E+04,
15625.00,-0.193,0.074,312.509,312.507,-1.054,-1.035E+05,
25000.00,-0.734,0.079,312.731,312.706,-4.003,-6.289E+05,
50000.00,-2.853,0.074,313.415,313.027,-15.599,-4.901E+06,
62500.00,-3.989,0.141,314.317,313.555,-21.865,-8.586E+06,
80000.00,-5.793,0.055,315.307,313.697,-31.825,-1.600E+07,
100000.00,-7.977,0.145,316.500,313.437,-43.925,-2.760E+07,

