# EIS Calibration Lookup Table
# Format:
#frequency_hz,tia_mode,pga_gain_index,magnitude_ratio,phase_offset_deg
# tia_mode: 0=high TIA gain,1=low TIA gain
# pga_gain_index: 0-7 (maps to gains: 1,2,5,10,20,50,100,200)

100000,1,1,69.37467893,-0.7460005372
80000,1,1,69.28202678,-0.3640993939
62500,1,1,69.21100208,-0.03031172721
50000,1,1,69.17268581,0.194039619
25000,1,2,172.7442586,-0.3195945321
15625,1,2,172.8098702,-0.3867766363
12500,1,2,172.857278,-0.4960343546
10000,1,2,172.9239602,-0.6665194801
6250,1,2,173.6064983,-1.36109629
5000,1,3,349.1437309,-1.802074476
4000,1,3,351.0670418,-1.95323907
3125,1,3,353.6426097,-2.064704592
2500,1,3,356.4664209,-2.080714428
2000,1,4,770.5897408,2.374239379
1250,1,4,760.7694726,2.128684583
1000,1,4,755.7835605,1.892179402
800,1,5,1846.507606,1.504324445
625,1,5,1840.216997,1.16401199
500,1,5,1838.215397,0.8117817867
400,1,6,3707.304308,0.2033141804
250,1,6,3706.215002,0.6578395027
200,1,6,3705.668992,0.650440202
160,0,0,7436.137322,-0.2822580358
125,0,0,7433.104229,-0.2498499128
100,0,1,14778.34324,-0.3681226073
80,0,1,14773.46751,-0.3735769023
50,0,1,14767.71283,-0.3301764244
40,0,1,14760.1249,-0.335125511
32,0,1,14748.54011,-0.3590731721
25,0,2,36821.36525,-0.5872914871
20,0,2,36796.27085,-0.8025743134
16,0,2,36759.92218,-0.963776306
10,0,2,36664.04055,-1.208034203
8,0,2,36617.15178,-1.241698715
5,0,3,73188.59647,-1.626488378
4,0,3,73157.57454,-1.784597985
2,0,3,73172.345,-2.226691644
1,0,3,73369.51038,-2.598564133
