# EIS Calibration Quadratic Coefficients
# Magnitude: |Z_uc/Z_ref| = m0 + m1*f + m2*f^2
# Phase: arg(Z_uc/Z_ref) = a1*f + a2*f^2
# Format: tia_mode, pga_gain_index, m0, m1, m2, a1, a2, r_squared_mag, r_squared_phase

0,0,501.537398084,-4.598523761578e-03,1.433039380440e-08,-1.105956180012e-03,9.597093634687e-09,0.989084,0.952345
0,1,1002.236756592,-9.105548026209e-03,2.777956600368e-08,-1.109363600345e-03,9.607064571709e-09,0.988447,0.953666
0,2,2507.093398409,-2.414198273684e-02,6.602104804847e-08,-1.296118332452e-03,1.016721947951e-08,0.989341,0.980246
0,3,4957.175352428,-4.601987067060e-02,1.161491804551e-07,-1.303321239763e-03,1.014143007555e-08,0.987343,0.982200
0,4,10032.453258586,-1.084586875071e-01,3.723417558827e-07,-1.254488365713e-03,1.398425160757e-08,0.985634,0.931529
0,5,25040.128224533,-2.623943470691e-01,8.607327793193e-07,-1.253226422372e-03,1.362458947112e-08,0.985333,0.936393
0,6,50128.447214103,-5.151048673225e-01,1.468037639046e-06,-1.410949779045e-03,1.391091285839e-08,0.985182,0.965762
0,7,99904.510242502,-9.127354194531e-01,1.729299361387e-06,-1.464771118692e-03,1.310379114662e-08,0.984819,0.981997
1,0,2.484598787,-5.039580711013e-08,-1.004072828065e-12,1.569850840417e-05,1.982543388275e-10,0.390811,0.936859
1,1,4.965590740,8.173751814382e-08,-3.690259942540e-12,1.448849504068e-05,1.938097126097e-10,0.343214,0.928745
1,2,12.433423451,-3.904473718014e-07,8.386014202509e-12,-5.456090280907e-06,1.770354141089e-10,0.375222,0.793497
1,3,24.849522116,-1.707493238919e-07,1.276274847117e-11,-1.231938260872e-05,1.736727918323e-10,0.514183,0.448443
1,4,49.721488638,3.208417120627e-07,1.788332117197e-10,2.158271333037e-05,6.197144686926e-10,0.980066,0.980896
1,5,124.146820091,9.193005868828e-06,3.444075737315e-10,-4.782178187781e-06,6.170715367223e-10,0.979268,0.952247
1,6,248.424638971,1.878384572596e-05,-8.401716071152e-10,-1.331469388018e-04,4.563598680913e-10,0.941494,0.990107
1,7,496.179455778,-2.470700809071e-06,-3.942539295792e-09,-2.448379383660e-04,5.950901758901e-10,0.990715,0.996012
