Freq,Mag Ratio,Phase Offset
100000,1.049328918,-1.564
80000,0.9458094918,-2.544
62500,0.9672462596,-3.818
50000,0.9885075322,-4.425
25000,1.020201381,-3.064
15625,1.031982052,-0.885
12500,1.047073309,-0.347
10000,1.054191363,0.161
6250,1.067499837,1.105
5000,1.062041436,1.934
4000,1.044321132,1.903
3125,1.011035473,1.335
2500,0.9861627926,1.180
2000,0.8925765057,-3.615
1250,0.8551625557,-5.043
1000,0.8304291004,-5.287
800,0.8233213739,-6.052
625,0.7931196643,-6.548
500,0.7599670499,-6.432
400,0.7291605561,-7.564
250,0.6709694147,-9.137
200,0.6281657215,-10.549
160,0.3649853206,-17.499
125,0.3585905259,-22.650
100,0.3575886677,-20.841
80,0.3531101067,-23.003
50,0.3742934253,-26.285
40,0.3739652616,-27.929
32,0.3587037798,-27.174
25,0.3952553037,-25.166
20,0.4528469897,-26.25
16,0.5065257371,-24.722
10,0.4765898757,-12.287
8,0.3554359832,-25.172
5,0.4071758175,-24.078
4,0.3609400315,-13.01
2,0.3566082244,-18.701
1,0.6895376025,58.174
