# TIA High Gain Calibration Data (7500 Ohm)
# Format: freq,gain,phase_offset
# freq: Frequency in Hz
# gain: TIA gain (transimpedance gain in Ohms)
# phase_offset: Phase offset in degrees
freq,gain,phase_offset
100,7425.12265179425,-179.6791238155
80,7428.80694024613,-179.74744281485
62.5,7431.63629536787,-179.8169487277
50,7433.24424587802,-179.874500926983
25,7432.55397598385,-180.023267552763
15.625,7428.72348610368,-180.099595371713
12.5,7427.85113035185,-180.128989126222
10,7426.7039588925,-180.153812487767
6.25,7422.72114029663,-180.190254905487
5,7420.86728298431,-180.199495954314
4,7422.25345728311,-180.203033245713
3.125,7423.67835669499,-180.199649320753
2.5,7424.54042840098,-180.189077496107
2,7424.20657630359,-180.170457440115
1.25,7420.71913960334,-180.126396944248
1,7419.82955469818,-180.113601170467
0.8,7421.1443440951,-180.105895906566
0.625,7423.75714750957,-180.101622164681
0.5,7427.49525152167,-180.101580606663
0.4,7432.13874029214,-180.10270107248
0.25,7438.13626760583,-180.092833828529
0.2,7437.42972570276,-180.105805594038
0.16,7434.9913541959,-180.112167406521
0.125,7431.35771586955,-180.127348013739
0.1,7427.15358074657,-180.144299595007
0.08,7423.85302185923,-180.173744135416
0.05,7420.9612224843,-180.279739025933
0.04,7417.9975915367,-180.346044976421
0.032,7412.81699634537,-180.420261306171
0.025,7407.08506750852,-180.510797130597
0.02,7400.9281617004,-180.600006623898
0.016,7394.76576970033,-180.696126277467
0.01,7378.66099596234,-180.921104245377
0.008,7371.1228276254,-181.038671122709
0.005,7355.58129914198,-181.309679095059
0.004,7351.6162740724,-181.449703464611
0.002,7351.69654661311,-181.932381697652
0.001,7370.07983474158,-182.487500698482
