# TIA Low Gain Calibration Data (37.5 Ohm)
# Format: freq,gain,phase_offset
# freq: Frequency in Hz
# gain: TIA gain (transimpedance gain in Ohms)
# phase_offset: Phase offset in degrees
freq,gain,phase_offset
100,37.7227509232473,-179.434755198333
80,37.7233740547126,-179.487183424526
62.5,37.7243849394089,-179.54491066882
50,37.7254676085166,-179.596523590657
25,37.729344358068,-179.750714739862
15.625,37.7309249820948,-179.848243103913
12.5,37.7282490104704,-179.892362996998
10,37.722641749552,-179.935225770069
6.25,37.7084616309427,-180.022834308858
5,37.7019868267241,-180.063993809087
4,37.702234106013,-180.105432456582
3.125,37.7053354729661,-180.152016609031
2.5,37.7104428493208,-180.195310095737
2,37.7129850186966,-180.23966608645
1.25,37.7026807507542,-180.295152783201
1,37.6940630752143,-180.304280143725
0.8,37.6879203479358,-180.314049755685
0.625,37.6834634034029,-180.328191155586
0.5,37.6823420361149,-180.352489436302
0.4,37.6814918761451,-180.360214022963
0.25,37.6796966504402,-180.407389466967
0.2,37.6755200886316,-180.420985544371
0.16,37.6683226179356,-180.435921651719
0.125,37.6603568488063,-180.442986604083
0.1,37.6558204874671,-180.465385729649
0.08,37.6536015418605,-180.496711193874
0.05,37.6450963007557,-180.651382667228
0.04,37.6180408711353,-180.767347177465
0.032,37.5737152574496,-180.905654332662
0.025,37.5223468978157,-181.08181862401
0.02,37.5118274811701,-181.260656947079
0.016,37.5406501711005,-181.457492981987
0.01,36.8850069189148,-181.930522368814
0.008,36.4657032579745,-182.183084601716
0.005,35.5667926487512,-182.775774220782
0.004,35.2641181757921,-183.086816389823
0.002,34.628235965124,-184.179520187732
0.001,34.5293283693466,-185.469299910865
